OBJECTID,COUNTY,RATE,L95CL,U95CL,HOSP,FLAG,YEAR,GENDER,AGE,MEASURE,HEALTHOUTCOMEID,cofips
17,Statewide,12.4072208265321,11.383877304636,13.4305643484282,564,2,2004,Both genders,65+ years old,Age specific rate,Asthma,08000
18,Statewide,9.42545310630952,9.14529149115283,9.70561472146621,4344,2,2004,Both genders,All ages,Age specific rate,Asthma,08000
19,Statewide,19.3104133421917,17.166300089563,21.4545265948204,311,2,2005,Female,0-4 years old,Age specific rate,Asthma,08000
20,Statewide,5.64072604202341,5.06140691756232,6.2200451664845,364,2,2005,Female,15-34 years old,Age specific rate,Asthma,08000
21,Statewide,11.03919606549,10.3676678044809,11.7107243264991,1037,2,2005,Female,35-64 years old,Age specific rate,Asthma,08000
22,Statewide,10.6138219143063,9.46577311854793,11.7618707100647,328,2,2005,Female,5-14 years old,Age specific rate,Asthma,08000
23,Statewide,19.7942450204516,18.1059067963766,21.4825832445265,527,2,2005,Female,65+ years old,Age specific rate,Asthma,08000
24,Statewide,11.059840328133,10.6322265405011,11.4874541157649,2567,2,2005,Female,All ages,Age specific rate,Asthma,08000
25,Statewide,36.2577726862049,33.3950172414263,39.1205281309835,614,2,2005,Male,0-4 years old,Age specific rate,Asthma,08000
26,Statewide,2.20112299875317,1.8546361686295,2.54760982887684,155,2,2005,Male,15-34 years old,Age specific rate,Asthma,08000
27,Statewide,3.59487555261933,3.21226053940185,3.9774905658368,339,2,2005,Male,35-64 years old,Age specific rate,Asthma,08000
28,Statewide,14.5448032437073,13.2321881250137,15.8574183624009,471,2,2005,Male,5-14 years old,Age specific rate,Asthma,08000
29,Statewide,10.4880679587039,9.0736346617559,11.9025012556518,211,2,2005,Male,65+ years old,Age specific rate,Asthma,08000
30,Statewide,7.64452203800395,7.29051342321283,7.99853065279508,1790,2,2005,Male,All ages,Age specific rate,Asthma,08000
31,Statewide,27.9981475820194,26.1963513321609,29.799943831878,925,2,2005,Both genders,0-4 years old,Age specific rate,Asthma,08000
32,Statewide,3.84590018888631,3.51508390968611,4.17671646808651,519,2,2005,Both genders,15-34 years old,Age specific rate,Asthma,08000
33,Statewide,7.30974735685698,6.92365568473077,7.69583902898319,1376,2,2005,Both genders,35-64 years old,Age specific rate,Asthma,08000
34,Statewide,12.6255244175114,11.7506257101906,13.5004231248322,799,2,2005,Both genders,5-14 years old,Age specific rate,Asthma,08000
35,Statewide,15.7899466393944,14.6516239105405,16.9282693682483,738,2,2005,Both genders,65+ years old,Age specific rate,Asthma,08000
36,Statewide,9.34473804599533,9.06738917026751,9.62208692172314,4357,2,2005,Both genders,All ages,Age specific rate,Asthma,08000
37,Statewide,19.1582569646976,17.0412083741078,21.2753055552873,314,2,2006,Female,0-4 years old,Age specific rate,Asthma,08000
38,Statewide,4.9348085813724,4.39676440261096,5.47285276013383,323,2,2006,Female,15-34 years old,Age specific rate,Asthma,08000
39,Statewide,9.24685029161942,8.63893575406991,9.85476482916892,888,2,2006,Female,35-64 years old,Age specific rate,Asthma,08000
40,Statewide,12.37354682764,11.1415036148676,13.6055900404124,387,2,2006,Female,5-14 years old,Age specific rate,Asthma,08000
41,Statewide,18.7583513207935,17.1334291222555,20.3832735193315,511,2,2006,Female,65+ years old,Age specific rate,Asthma,08000
42,Statewide,10.249858815915,9.8419392276152,10.6577784042148,2423,2,2006,Female,All ages,Age specific rate,Asthma,08000
43,Statewide,33.073963827528,30.3632385330596,35.7846891219963,570,2,2006,Male,0-4 years old,Age specific rate,Asthma,08000
44,Statewide,2.18436306087045,1.84051418572407,2.52821193601683,155,2,2006,Male,15-34 years old,Age specific rate,Asthma,08000
45,Statewide,3.12884954688664,2.77601644121723,3.48168265255605,302,2,2006,Male,35-64 years old,Age specific rate,Asthma,08000
46,Statewide,14.8058600678322,13.4891289502273,16.1225911854371,485,2,2006,Male,5-14 years old,Age specific rate,Asthma,08000
47,Statewide,10.2391221401697,8.86150540185967,11.6167388784798,212,2,2006,Male,65+ years old,Age specific rate,Asthma,08000
48,Statewide,7.23833563624928,6.89677412818385,7.57989714431471,1724,2,2006,Male,All ages,Age specific rate,Asthma,08000
49,Statewide,26.2918394175346,24.5609104817629,28.0227683533063,884,2,2006,Both genders,0-4 years old,Age specific rate,Asthma,08000
50,Statewide,3.50406743057292,3.18998873772413,3.8181461234217,478,2,2006,Both genders,15-34 years old,Age specific rate,Asthma,08000
51,Statewide,6.18010701452533,5.82907692466714,6.53113710438352,1190,2,2006,Both genders,35-64 years old,Age specific rate,Asthma,08000
52,Statewide,13.6179144288987,12.7146549683482,14.5211738894492,872,2,2006,Both genders,5-14 years old,Age specific rate,Asthma,08000
53,Statewide,15.0798103656489,13.9814240797707,16.1781966515271,723,2,2006,Both genders,65+ years old,Age specific rate,Asthma,08000
54,Statewide,8.73849214125719,8.47264272149294,9.00434156102144,4147,2,2006,Both genders,All ages,Age specific rate,Asthma,08000
55,Statewide,18.0824196688506,16.0380521217083,20.126787215993,300,2,2007,Female,0-4 years old,Age specific rate,Asthma,08000
56,Statewide,4.70286769416287,4.18114540669264,5.2245899816331,312,2,2007,Female,15-34 years old,Age specific rate,Asthma,08000
57,Statewide,9.09481523918648,8.49722775866286,9.6924027197101,889,2,2007,Female,35-64 years old,Age specific rate,Asthma,08000
58,Statewide,10.8726481989222,9.72595922952522,12.0193371683192,345,2,2007,Female,5-14 years old,Age specific rate,Asthma,08000
59,Statewide,15.3067610822023,13.8577061360881,16.7558160283165,428,2,2007,Female,65+ years old,Age specific rate,Asthma,08000
60,Statewide,9.46026957192072,9.07161943174862,9.84891971209282,2274,2,2007,Female,All ages,Age specific rate,Asthma,08000
61,Statewide,28.6570722788677,26.1487709138666,31.1653736438688,500,2,2007,Male,0-4 years old,Age specific rate,Asthma,08000
62,Statewide,2.43159395175941,2.07033410458302,2.7928537989358,174,2,2007,Male,15-34 years old,Age specific rate,Asthma,08000
63,Statewide,4.0103944538484,3.61447399022014,4.40631491747666,394,2,2007,Male,35-64 years old,Age specific rate,Asthma,08000
64,Statewide,16.200573945984,14.8327088805136,17.5684390114544,538,2,2007,Male,5-14 years old,Age specific rate,Asthma,08000
65,Statewide,9.50841940092274,8.20101539604754,10.8158234057979,203,2,2007,Male,65+ years old,Age specific rate,Asthma,08000
66,Statewide,7.48112350015674,7.13650300600155,7.82574399431192,1809,2,2007,Male,All ages,Age specific rate,Asthma,08000
67,Statewide,23.5021768891344,21.875474050271,25.1288797279977,800,2,2007,Both genders,0-4 years old,Age specific rate,Asthma,08000
68,Statewide,3.52425974229394,3.2109821705456,3.83753731404229,486,2,2007,Both genders,15-34 years old,Age specific rate,Asthma,08000
69,Statewide,6.54620893886616,6.18812040883607,6.90429746889626,1283,2,2007,Both genders,35-64 years old,Age specific rate,Asthma,08000
70,Statewide,13.5970409882262,12.7008002733144,14.4932817031379,883,2,2007,Both genders,5-14 years old,Age specific rate,Asthma,08000
71,Statewide,12.7970860771354,11.7992150349927,13.7949571192781,631,2,2007,Both genders,65+ years old,Age specific rate,Asthma,08000
72,Statewide,8.46777981781519,8.20815154463012,8.72740809100026,4083,2,2007,Both genders,All ages,Age specific rate,Asthma,08000
73,Statewide,20.6291594663924,18.4545581947151,22.8037607380697,345,2,2008,Female,0-4 years old,Age specific rate,Asthma,08000
74,Statewide,4.83990456777128,4.3146389827745,5.36517015276806,326,2,2008,Female,15-34 years old,Age specific rate,Asthma,08000
75,Statewide,9.74128673633651,9.12759888087138,10.3549745918016,967,2,2008,Female,35-64 years old,Age specific rate,Asthma,08000
76,Statewide,11.5042683626418,10.3342890982968,12.6742476269869,371,2,2008,Female,5-14 years old,Age specific rate,Asthma,08000
77,Statewide,19.4941844645815,17.8897233242037,21.0986456049594,566,2,2008,Female,65+ years old,Age specific rate,Asthma,08000
78,Statewide,10.5260145851728,10.1196622758289,10.9323668945168,2575,2,2008,Female,All ages,Age specific rate,Asthma,08000
79,Statewide,33.7737951738725,31.062304692644,36.485285655101,594,2,2008,Male,0-4 years old,Age specific rate,Asthma,08000
80,Statewide,2.44845449955388,2.08778592622356,2.80912307288421,177,2,2008,Male,15-34 years old,Age specific rate,Asthma,08000
81,Statewide,3.7012777934366,3.32369327192723,4.07886231494598,369,2,2008,Male,35-64 years old,Age specific rate,Asthma,08000
82,Statewide,16.5376943845933,15.1666404952801,17.9087482739064,558,2,2008,Male,5-14 years old,Age specific rate,Asthma,08000
83,Statewide,10.7412833811223,9.3802150596786,12.102351702566,239,2,2008,Male,65+ years old,Age specific rate,Asthma,08000
84,Statewide,7.88792869996592,7.53678661337238,8.23907078655946,1937,2,2008,Male,All ages,Age specific rate,Asthma,08000
85,Statewide,27.3673963667523,25.6193149045758,29.1154778289288,939,2,2008,Both genders,0-4 years old,Age specific rate,Asthma,08000
86,Statewide,3.6019727066426,3.28724551492462,3.91669989836058,503,2,2008,Both genders,15-34 years old,Age specific rate,Asthma,08000
87,Statewide,6.71494457155035,6.35498857553468,7.07490056756602,1336,2,2008,Both genders,35-64 years old,Age specific rate,Asthma,08000
88,Statewide,14.0777625904295,13.1731222688914,14.9824029119676,929,2,2008,Both genders,5-14 years old,Age specific rate,Asthma,08000
89,Statewide,15.6961077552421,14.6126574450097,16.7795580654746,805,2,2008,Both genders,65+ years old,Age specific rate,Asthma,08000
90,Statewide,9.20453780449741,8.93608153826181,9.47299407073301,4512,2,2008,Both genders,All ages,Age specific rate,Asthma,08000
91,Statewide,19.6508245581551,17.5294772921715,21.7721718241387,329,2,2009,Female,0-4 years old,Age specific rate,Asthma,08000
92,Statewide,5.46951042000547,4.91384386983141,6.02517697017953,372,2,2009,Female,15-34 years old,Age specific rate,Asthma,08000
93,Statewide,9.90728760261473,9.29353181399889,10.5210433912306,1000,2,2009,Female,35-64 years old,Age specific rate,Asthma,08000
94,Statewide,15.3629028570732,14.0226700957395,16.7031356184069,504,2,2009,Female,5-14 years old,Age specific rate,Asthma,08000
95,Statewide,16.3578891618928,14.9077224773365,17.8080558464491,488,2,2009,Female,65+ years old,Age specific rate,Asthma,08000
96,Statewide,10.8444190302842,10.4350560424712,11.2537820180973,2693,2,2009,Female,All ages,Age specific rate,Asthma,08000
97,Statewide,33.8890686466511,31.1751839142699,36.6029533790323,597,2,2009,Male,0-4 years old,Age specific rate,Asthma,08000
98,Statewide,2.80393100130575,2.4192086530615,3.18865334955001,204,2,2009,Male,15-34 years old,Age specific rate,Asthma,08000
99,Statewide,4.13586565444892,3.73992904912061,4.53180225977722,419,2,2009,Male,35-64 years old,Age specific rate,Asthma,08000
100,Statewide,19.094595500672,17.6336606347746,20.5555303665693,655,2,2009,Male,5-14 years old,Age specific rate,Asthma,08000
101,Statewide,9.71343235043668,8.45042803163922,10.9764366692341,227,2,2009,Male,65+ years old,Age specific rate,Asthma,08000
102,Statewide,8.42982312610887,8.06959713127843,8.79004912093931,2102,2,2009,Male,All ages,Age specific rate,Asthma,08000
103,Statewide,26.951353679762,25.2177687218223,28.6849386377017,926,2,2009,Both genders,0-4 years old,Age specific rate,Asthma,08000
104,Statewide,4.09178091922995,3.75768718372801,4.42587465473188,576,2,2009,Both genders,15-34 years old,Age specific rate,Asthma,08000
105,Statewide,7.01624614514383,6.65130966330983,7.38118262697783,1419,2,2009,Both genders,35-64 years old,Age specific rate,Asthma,08000
106,Statewide,17.2700505435819,16.276631174396,18.2634699127679,1159,2,2009,Both genders,5-14 years old,Age specific rate,Asthma,08000
107,Statewide,13.439319124621,12.4548813053114,14.4237569439307,715,2,2009,Both genders,65+ years old,Age specific rate,Asthma,08000
108,Statewide,9.63459662083854,9.36202164103816,9.90717160063891,4795,2,2009,Both genders,All ages,Age specific rate,Asthma,08000
109,Statewide,19.2962542565267,17.1938878638589,21.3986206491944,323,2,2010,Female,0-4 years old,Age specific rate,Asthma,08000
110,Statewide,4.92285105899556,4.39815537367221,5.44754674431891,338,2,2010,Female,15-34 years old,Age specific rate,Asthma,08000
111,Statewide,8.81398577045094,8.2387120392428,9.38925950165908,901,2,2010,Female,35-64 years old,Age specific rate,Asthma,08000
112,Statewide,10.7604660477406,9.64949659908363,11.8714354963976,360,2,2010,Female,5-14 years old,Age specific rate,Asthma,08000
113,Statewide,14.6913836494305,13.3394654440198,16.0433018548412,453,2,2010,Female,65+ years old,Age specific rate,Asthma,08000
114,Statewide,9.42787674291669,9.04888186537261,9.80687162046077,2375,2,2010,Female,All ages,Age specific rate,Asthma,08000
115,Statewide,34.3504082304714,31.61788984305,37.0829266178927,605,2,2010,Male,0-4 years old,Age specific rate,Asthma,08000
116,Statewide,2.33122477914713,1.9818500093882,2.68059954890605,171,2,2010,Male,15-34 years old,Age specific rate,Asthma,08000
117,Statewide,3.68548571874284,3.31401476568989,4.05695667179579,378,2,2010,Male,35-64 years old,Age specific rate,Asthma,08000
118,Statewide,17.2374298476692,15.8616285700059,18.6132311253325,602,2,2010,Male,5-14 years old,Age specific rate,Asthma,08000
119,Statewide,7.37809920705703,6.30656856378357,8.44962985033049,182,2,2010,Male,65+ years old,Age specific rate,Asthma,08000
120,Statewide,7.65642636102065,7.31567392128757,7.99717880075373,1938,2,2010,Male,All ages,Age specific rate,Asthma,08000
121,Statewide,27.0147533157116,25.2789693283182,28.750537303105,928,2,2010,Both genders,0-4 years old,Age specific rate,Asthma,08000
122,Statewide,3.58421929507068,3.27289435772962,3.89554423241174,509,2,2010,Both genders,15-34 years old,Age specific rate,Asthma,08000
123,Statewide,6.24547093487717,5.90329431676941,6.58764755298493,1279,2,2010,Both genders,35-64 years old,Age specific rate,Asthma,08000
124,Statewide,14.0684822125832,13.1800790971532,14.9568853280133,962,2,2010,Both genders,5-14 years old,Age specific rate,Asthma,08000
125,Statewide,11.4410291521026,10.5516525087697,12.3304057954356,635,2,2010,Both genders,65+ years old,Age specific rate,Asthma,08000
126,Statewide,8.54003261567754,8.28526727297527,8.79479795837981,4313,2,2010,Both genders,All ages,Age specific rate,Asthma,08000
127,Statewide,20.9776298895058,18.7758856623645,23.179374116647,348,2,2011,Female,0-4 years old,Age specific rate,Asthma,08000
128,Statewide,4.12458539323912,3.64831833465446,4.60085245182378,288,2,2011,Female,15-34 years old,Age specific rate,Asthma,08000
129,Statewide,7.96714904660105,7.42337016897889,8.51092792422322,824,2,2011,Female,35-64 years old,Age specific rate,Asthma,08000
130,Statewide,11.4839033462736,10.3433350745702,12.6244716179771,389,2,2011,Female,5-14 years old,Age specific rate,Asthma,08000
131,Statewide,14.305254043744,12.9931799286026,15.6173281588853,456,2,2011,Female,65+ years old,Age specific rate,Asthma,08000
132,Statewide,9.01838851374218,8.6503835918696,9.38639343561477,2305,2,2011,Female,All ages,Age specific rate,Asthma,08000
133,Statewide,34.8186219397471,32.0534896849307,37.5837541945636,607,2,2011,Male,0-4 years old,Age specific rate,Asthma,08000
134,Statewide,2.15861387492643,1.82520955796766,2.49201819188519,161,2,2011,Male,15-34 years old,Age specific rate,Asthma,08000
135,Statewide,3.4724164739154,3.11377441981813,3.83105852801267,360,2,2011,Male,35-64 years old,Age specific rate,Asthma,08000
136,Statewide,17.029317582629,15.6701125673038,18.3885225979541,602,2,2011,Male,5-14 years old,Age specific rate,Asthma,08000
137,Statewide,7.38047514722106,6.33140804329611,8.429542251146,190,2,2011,Male,65+ years old,Age specific rate,Asthma,08000
138,Statewide,7.47702275857745,7.14269553838229,7.81134997877261,1920,2,2011,Male,All ages,Age specific rate,Asthma,08000
139,Statewide,28.0697422874342,26.2919442308237,29.8475403440446,955,2,2011,Both genders,0-4 years old,Age specific rate,Asthma,08000
140,Statewide,3.10912976219658,2.82158581870101,3.39667370569216,449,2,2011,Both genders,15-34 years old,Age specific rate,Asthma,08000
141,Statewide,5.71712772275793,5.39156555360447,6.0426898919114,1184,2,2011,Both genders,35-64 years old,Age specific rate,Asthma,08000
142,Statewide,14.3155753748991,13.4249050751408,15.2062456746573,991,2,2011,Both genders,5-14 years old,Age specific rate,Asthma,08000
143,Statewide,11.2124357367751,10.348271741627,12.0765997319231,646,2,2011,Both genders,65+ years old,Age specific rate,Asthma,08000
144,Statewide,8.24595065271823,7.99740606308346,8.494495242353,4225,2,2011,Both genders,All ages,Age specific rate,Asthma,08000
145,Statewide,15.9042806983203,13.9725890708043,17.8359723258362,260,2,2012,Female,0-4 years old,Age specific rate,Asthma,08000
146,Statewide,4.21806403557281,3.74004847699988,4.69607959414574,299,2,2012,Female,15-34 years old,Age specific rate,Asthma,08000
147,Statewide,7.01487345360478,6.50617302600951,7.52357388120005,730,2,2012,Female,35-64 years old,Age specific rate,Asthma,08000
148,Statewide,10.8029197080292,9.70274502120481,11.9030943948536,370,2,2012,Female,5-14 years old,Age specific rate,Asthma,08000
149,Statewide,11.7776544964237,10.6197740266523,12.9355349661951,397,2,2012,Female,65+ years old,Age specific rate,Asthma,08000
150,Statewide,7.93038846946203,7.58772587138122,8.27305106754283,2056,2,2012,Female,All ages,Age specific rate,Asthma,08000
151,Statewide,31.5466610687379,28.8925155587104,34.2008065787654,541,2,2012,Male,0-4 years old,Age specific rate,Asthma,08000
152,Statewide,2.45688237477495,2.10383693436073,2.80992781518918,186,2,2012,Male,15-34 years old,Age specific rate,Asthma,08000
153,Statewide,3.33983385286304,2.9889860378962,3.69068166782989,348,2,2012,Male,35-64 years old,Age specific rate,Asthma,08000
154,Statewide,15.0187944690562,13.7494554555341,16.2881334825784,537,2,2012,Male,5-14 years old,Age specific rate,Asthma,08000
155,Statewide,5.70121286948943,4.80965473587508,6.59277100310378,157,2,2012,Male,65+ years old,Age specific rate,Asthma,08000
156,Statewide,6.79483254713267,6.47829639753567,7.11136869672966,1769,2,2012,Male,All ages,Age specific rate,Asthma,08000
157,Statewide,23.9129461287,22.2588794459288,25.5670128114712,801,2,2012,Both genders,0-4 years old,Age specific rate,Asthma,08000
158,Statewide,3.30850476731661,3.01409981467501,3.60290971995822,485,2,2012,Both genders,15-34 years old,Age specific rate,Asthma,08000
159,Statewide,5.17614995277603,4.86723344792363,5.48506645762844,1078,2,2012,Both genders,35-64 years old,Age specific rate,Asthma,08000
160,Statewide,12.9559583123829,12.1133214534088,13.798595171357,907,2,2012,Both genders,5-14 years old,Age specific rate,Asthma,08000
161,Statewide,9.0462419722767,8.2932803110249,9.7992036335285,554,2,2012,Both genders,65+ years old,Age specific rate,Asthma,08000
162,Statewide,7.36145170522015,7.12824345624531,7.59465995419498,3825,2,2012,Both genders,All ages,Age specific rate,Asthma,08000
163,Statewide,17.2951604434973,15.271089333545,19.3192315534497,280,2,2013,Female,0-4 years old,Age specific rate,Asthma,08000
164,Statewide,3.60501263140964,3.16688777582111,4.04313748699818,260,2,2013,Female,15-34 years old,Age specific rate,Asthma,08000
165,Statewide,7.00629899643108,6.49995125668525,7.5126467361769,735,2,2013,Female,35-64 years old,Age specific rate,Asthma,08000
166,Statewide,10.417118798559,9.34157991680356,11.4926576803144,360,2,2013,Female,5-14 years old,Age specific rate,Asthma,08000
167,Statewide,10.6359807307711,9.56147531089357,11.7104861506486,376,2,2013,Female,65+ years old,Age specific rate,Asthma,08000
168,Statewide,7.64269434809261,7.3087835182244,7.97660517796083,2011,2,2013,Female,All ages,Age specific rate,Asthma,08000
169,Statewide,29.0334002124395,26.4716307083013,31.5951697165777,492,2,2013,Male,0-4 years old,Age specific rate,Asthma,08000
170,Statewide,1.83103566493865,1.52882933652422,2.13324199335308,141,2,2013,Male,15-34 years old,Age specific rate,Asthma,08000
171,Statewide,2.71662718819554,2.40126858353449,3.03198579285659,285,2,2013,Male,35-64 years old,Age specific rate,Asthma,08000
172,Statewide,16.2992644576413,14.9840026556215,17.6145262596611,589,2,2013,Male,5-14 years old,Age specific rate,Asthma,08000
173,Statewide,5.9667712566226,5.0804498661019,6.8530926471433,174,2,2013,Male,65+ years old,Age specific rate,Asthma,08000
174,Statewide,6.36358680674381,6.05947312439177,6.66770048909585,1681,2,2013,Male,All ages,Age specific rate,Asthma,08000
175,Statewide,23.2975018559538,21.6559663261662,24.9390373857414,772,2,2013,Both genders,0-4 years old,Age specific rate,Asthma,08000
176,Statewide,2.6889327284017,2.42578148588328,2.95208397092012,401,2,2013,Both genders,15-34 years old,Age specific rate,Asthma,08000
177,Statewide,4.86130737712926,4.56304156259587,5.15957319166266,1020,2,2013,Both genders,35-64 years old,Age specific rate,Asthma,08000
178,Statewide,13.4228187919463,12.5693748031723,14.2762627807203,949,2,2013,Both genders,5-14 years old,Age specific rate,Asthma,08000
179,Statewide,8.52554563492063,7.81332967548797,9.2377615943533,550,2,2013,Both genders,65+ years old,Age specific rate,Asthma,08000
180,Statewide,7.00172008670602,6.77594403387043,7.22749613954162,3692,2,2013,Both genders,All ages,Age specific rate,Asthma,08000
181,Statewide,15.1680245660088,13.2701284674568,17.0659206645607,245,2,2014,Female,0-4 years old,Age specific rate,Asthma,08000
182,Statewide,4.32806162724229,3.85246151940857,4.80366173507601,318,2,2014,Female,15-34 years old,Age specific rate,Asthma,08000
183,Statewide,6.71117467297202,6.21768319285641,7.20466615308763,710,2,2014,Female,35-64 years old,Age specific rate,Asthma,08000
184,Statewide,12.7551754916357,11.5681405732752,13.9422104099962,443,2,2014,Female,5-14 years old,Age specific rate,Asthma,08000
185,Statewide,9.24884254251222,8.26906050057999,10.2286245844445,342,2,2014,Female,65+ years old,Age specific rate,Asthma,08000
186,Statewide,7.70415159434385,7.37142244634474,8.03688074234296,2058,2,2014,Female,All ages,Age specific rate,Asthma,08000
187,Statewide,26.715477205952,24.2531268815411,29.177827530363,451,2,2014,Male,0-4 years old,Age specific rate,Asthma,08000
188,Statewide,2.61405571381573,2.25625828985599,2.97185313777547,205,2,2014,Male,15-34 years old,Age specific rate,Asthma,08000
189,Statewide,2.87370446974481,2.55070710996939,3.19670182952022,304,2,2014,Male,35-64 years old,Age specific rate,Asthma,08000
190,Statewide,21.6240009904123,20.1138833413584,23.1341186394661,786,2,2014,Male,5-14 years old,Age specific rate,Asthma,08000
191,Statewide,5.69746771977575,4.8535595989134,6.54137584063809,175,2,2014,Male,65+ years old,Age specific rate,Asthma,08000
192,Statewide,7.16378058171688,6.84353802151769,7.48402314191608,1921,2,2014,Male,All ages,Age specific rate,Asthma,08000
193,Statewide,21.0685636446193,19.5049537883781,22.6321735008606,696,2,2014,Both genders,0-4 years old,Age specific rate,Asthma,08000
194,Statewide,3.44310224170314,3.14806260327115,3.73814188013514,523,2,2014,Both genders,15-34 years old,Age specific rate,Asthma,08000
195,Statewide,4.7924568430754,4.49754567946917,5.08736800668162,1014,2,2014,Both genders,35-64 years old,Age specific rate,Asthma,08000
196,Statewide,17.290450015968,16.3245978805566,18.2563021513794,1229,2,2014,Both genders,5-14 years old,Age specific rate,Asthma,08000
197,Statewide,7.63746702002878,6.97936346194824,8.29557057810931,517,2,2014,Both genders,65+ years old,Age specific rate,Asthma,08000
198,Statewide,7.43338582224101,7.20250157503761,7.66427006944441,3979,2,2014,Both genders,All ages,Age specific rate,Asthma,08000
199,Statewide,12.5902815309782,10.867853773952,14.3127092880045,205,2,2015,Female,0-4 years old,Age specific rate,Asthma,08000
200,Statewide,3.50079466707842,3.07776696932848,3.92382236482836,263,2,2015,Female,15-34 years old,Age specific rate,Asthma,08000
201,Statewide,6.0698734743732,5.60373669653381,6.53601025221259,651,2,2015,Female,35-64 years old,Age specific rate,Asthma,08000
202,Statewide,8.8820124921208,7.89370144933006,9.87032353491153,310,2,2015,Female,5-14 years old,Age specific rate,Asthma,08000
203,Statewide,8.48362892400169,7.56589557037399,9.40136227762938,328,2,2015,Female,65+ years old,Age specific rate,Asthma,08000
204,Statewide,6.45424593505567,6.15254580103464,6.75594606907669,1757,2,2015,Female,All ages,Age specific rate,Asthma,08000
205,Statewide,21.1181439563284,18.9358887739682,23.3003991386886,359,2,2015,Male,0-4 years old,Age specific rate,Asthma,08000
206,Statewide,1.92162035020907,1.61814629446607,2.22509440595207,154,2,2015,Male,15-34 years old,Age specific rate,Asthma,08000
207,Statewide,2.19088480048032,1.91079705812651,2.47097254283413,235,2,2015,Male,35-64 years old,Age specific rate,Asthma,08000
208,Statewide,14.3351525845678,13.1086139271571,15.5616912419785,524,2,2015,Male,5-14 years old,Age specific rate,Asthma,08000
209,Statewide,4.36843572822753,3.64753147907553,5.08933997737954,141,2,2015,Male,65+ years old,Age specific rate,Asthma,08000
210,Statewide,5.17140291047873,4.90182702444112,5.44097879651634,1413,2,2015,Male,All ages,Age specific rate,Asthma,08000
211,Statewide,16.9460460728139,15.5486593537878,18.3434327918401,564,2,2015,Both genders,0-4 years old,Age specific rate,Asthma,08000
212,Statewide,2.68561668714691,2.42788148162712,2.9433518926667,417,2,2015,Both genders,15-34 years old,Age specific rate,Asthma,08000
213,Statewide,4.13018376520791,3.85827770866901,4.40208982174681,886,2,2015,Both genders,35-64 years old,Age specific rate,Asthma,08000
214,Statewide,11.6704402022876,10.8788385074877,12.4620418970875,834,2,2015,Both genders,5-14 years old,Age specific rate,Asthma,08000
215,Statewide,6.61107164202668,6.01293844288364,7.20920484116972,469,2,2015,Both genders,65+ years old,Age specific rate,Asthma,08000
216,Statewide,5.81143595265935,5.60918821808218,6.01368368723651,3170,2,2015,Both genders,All ages,Age specific rate,Asthma,08000
217,Statewide,10.593544673529,9.01577296501564,12.1713163820424,173,2,2016,Female,0-4 years old,Age specific rate,Asthma,08000
218,Statewide,3.0342848138603,2.64473001770275,3.42383961001785,233,2,2016,Female,15-34 years old,Age specific rate,Asthma,08000
219,Statewide,3.5827665236638,3.22633106354158,3.93920198378602,388,2,2016,Female,35-64 years old,Age specific rate,Asthma,08000
